"","SampleType","SampleOrigin"
"A01","Juice","AS"
"A02","Juice","AS"
"A03","Slaughterhouse","AS"
"A04","Paper","AS"
"A05","Dairy","AS"
"A06","Yeast","AS"
"A07","Yeast","AS"
"B01","Juice","tWW"
"B02","Juice","tWW"
"B03","Slaughterhouse","tWW"
"B04","Paper","tWW"
"B05","Dairy","tWW"
"B06","Yeast","tWW"
"B07","Yeast","tWW"
"C01","Juice","AS"
"C02","Slaughterhouse","AS"
"C03","Slaughterhouse","AS"
"C04","Paper","AS"
"C05","Dairy","AS"
"C06","Yeast","AS"
"D01","Juice","tWW"
"D02","Slaughterhouse","tWW"
"D03","Slaughterhouse","tWW"
"D04","Paper","tWW"
"D05","Dairy","tWW"
"D06","Yeast","tWW"
"E01","Juice","AS"
"E02","Slaughterhouse","AS"
"E03","Paper","AS"
"E04","Paper","AS"
"E05","Dairy","AS"
"E06","Yeast","AS"
"F01","Juice","tWW"
"F02","Slaughterhouse","tWW"
"F03","Paper","tWW"
"F04","Paper","tWW"
"F05","Dairy","tWW"
"F06","Yeast","tWW"
"G01","Juice","AS"
"G02","Slaughterhouse","AS"
"G03","Paper","AS"
"G04","Dairy","AS"
"G05","Dairy","AS"
"G06","Yeast","AS"
"H01","Juice","tWW"
"H02","Slaughterhouse","tWW"
"H03","Paper","tWW"
"H04","Dairy","tWW"
"H05","Dairy","tWW"
"H06","Yeast","tWW"
